asset_id,board,manufacturer,processor,reference_type,review,file,sha256,source_urls,rights_status,original_collection_paths
PDF-ARD-6191ae48d191-p11,Portenta X8,Arduino,,pinout image,Reviewed source,media/9f4da0daebf7231c79baf86950420d5ec26e042ad79f165d06ec7d6a37b3c514.png,9f4da0daebf7231c79baf86950420d5ec26e042ad79f165d06ec7d6a37b3c514,https://raw.githubusercontent.com/arduino/docs-content/dab66ecbd6ad52cd742da6c19c5b6330a7f2caae/content/hardware/pro/boards/portenta-x8/downloads/ABX00049-full-pinout.pdf | https://docs.arduino.cc/hardware/portenta-x8/ | https://github.com/arduino/docs-content/blob/dab66ecbd6ad52cd742da6c19c5b6330a7f2caae/content/hardware/pro/boards/portenta-x8/product.md | https://github.com/arduino/docs-content/blob/dab66ecbd6ad52cd742da6c19c5b6330a7f2caae/content/hardware/pro/boards/portenta-x8/downloads/ABX00049-full-pinout.pdf,CC BY-SA 4.0 notice printed in the original PDF; preserve attribution and verify scope for publication.,Pinouts and Reference Sheets/06 Other Development Boards/Arduino/Portenta X8/Pinout Images/Portenta X8 - Official full pinout - page 11 - PDF-ARD-6191ae48d191-p11.png
PDF-ARD-6191ae48d191-p12,Portenta X8,Arduino,,pinout image,Reviewed source,media/df4289db97902e47562b2e74c638c0e95d5259af5c09d05ea2fb23bb76c6b666.png,df4289db97902e47562b2e74c638c0e95d5259af5c09d05ea2fb23bb76c6b666,https://raw.githubusercontent.com/arduino/docs-content/dab66ecbd6ad52cd742da6c19c5b6330a7f2caae/content/hardware/pro/boards/portenta-x8/downloads/ABX00049-full-pinout.pdf | https://docs.arduino.cc/hardware/portenta-x8/ | https://github.com/arduino/docs-content/blob/dab66ecbd6ad52cd742da6c19c5b6330a7f2caae/content/hardware/pro/boards/portenta-x8/product.md | https://github.com/arduino/docs-content/blob/dab66ecbd6ad52cd742da6c19c5b6330a7f2caae/content/hardware/pro/boards/portenta-x8/downloads/ABX00049-full-pinout.pdf,CC BY-SA 4.0 notice printed in the original PDF; preserve attribution and verify scope for publication.,Pinouts and Reference Sheets/06 Other Development Boards/Arduino/Portenta X8/Pinout Images/Portenta X8 - Official full pinout - page 12 - PDF-ARD-6191ae48d191-p12.png
ARD-0c21c361e11d,Portenta X8,Arduino,,GPIO reference image,Reviewed source,media/a900aa02a820a8304bd0337efb48bd822466322facf07af76ee8524909eebf95.png,a900aa02a820a8304bd0337efb48bd822466322facf07af76ee8524909eebf95,https://raw.githubusercontent.com/arduino/docs-content/dab66ecbd6ad52cd742da6c19c5b6330a7f2caae/content/hardware/pro/boards/portenta-x8/datasheet/assets/usbCPinout.png | https://docs.arduino.cc/hardware/portenta-x8/ | https://github.com/arduino/docs-content/blob/dab66ecbd6ad52cd742da6c19c5b6330a7f2caae/content/hardware/pro/boards/portenta-x8/product.md | https://github.com/arduino/docs-content/blob/dab66ecbd6ad52cd742da6c19c5b6330a7f2caae/content/hardware/pro/boards/portenta-x8/datasheet/assets/usbCPinout.png,Not established; source attribution retained,Pinouts and Reference Sheets/06 Other Development Boards/Arduino/Portenta X8/Reference Sheets/Portenta X8 - usbCPinout - ARD-0c21c361e11d.png
PDF-ARD-6191ae48d191-p05,Portenta X8,Arduino,,GPIO reference image,Reviewed source,media/9d5cb1a31cc2de0363afe64133f806e31726d14c593236bb27b2ed38e6eb2525.png,9d5cb1a31cc2de0363afe64133f806e31726d14c593236bb27b2ed38e6eb2525,https://raw.githubusercontent.com/arduino/docs-content/dab66ecbd6ad52cd742da6c19c5b6330a7f2caae/content/hardware/pro/boards/portenta-x8/downloads/ABX00049-full-pinout.pdf | https://docs.arduino.cc/hardware/portenta-x8/ | https://github.com/arduino/docs-content/blob/dab66ecbd6ad52cd742da6c19c5b6330a7f2caae/content/hardware/pro/boards/portenta-x8/product.md | https://github.com/arduino/docs-content/blob/dab66ecbd6ad52cd742da6c19c5b6330a7f2caae/content/hardware/pro/boards/portenta-x8/downloads/ABX00049-full-pinout.pdf,CC BY-SA 4.0 notice printed in the original PDF; preserve attribution and verify scope for publication.,Pinouts and Reference Sheets/06 Other Development Boards/Arduino/Portenta X8/Reference Sheets/Portenta X8 - Official full pinout - page 5 - PDF-ARD-6191ae48d191-p05.png
PDF-ARD-6191ae48d191-p13,Portenta X8,Arduino,,GPIO reference image,Reviewed source,media/facb9fab60630729553d76e4142b8a1392b45551222a75c60c5fd7c2c6d5e0ae.png,facb9fab60630729553d76e4142b8a1392b45551222a75c60c5fd7c2c6d5e0ae,https://raw.githubusercontent.com/arduino/docs-content/dab66ecbd6ad52cd742da6c19c5b6330a7f2caae/content/hardware/pro/boards/portenta-x8/downloads/ABX00049-full-pinout.pdf | https://docs.arduino.cc/hardware/portenta-x8/ | https://github.com/arduino/docs-content/blob/dab66ecbd6ad52cd742da6c19c5b6330a7f2caae/content/hardware/pro/boards/portenta-x8/product.md | https://github.com/arduino/docs-content/blob/dab66ecbd6ad52cd742da6c19c5b6330a7f2caae/content/hardware/pro/boards/portenta-x8/downloads/ABX00049-full-pinout.pdf,CC BY-SA 4.0 notice printed in the original PDF; preserve attribution and verify scope for publication.,Pinouts and Reference Sheets/06 Other Development Boards/Arduino/Portenta X8/Reference Sheets/Portenta X8 - Official full pinout - page 13 - PDF-ARD-6191ae48d191-p13.png
PDF-ARD-6191ae48d191-p14,Portenta X8,Arduino,,GPIO reference image,Reviewed source,media/245d8e822fada7a34b9d6299af1a5cffd869d04790d88bc8f9db5cdd6e5b7dc8.png,245d8e822fada7a34b9d6299af1a5cffd869d04790d88bc8f9db5cdd6e5b7dc8,https://raw.githubusercontent.com/arduino/docs-content/dab66ecbd6ad52cd742da6c19c5b6330a7f2caae/content/hardware/pro/boards/portenta-x8/downloads/ABX00049-full-pinout.pdf | https://docs.arduino.cc/hardware/portenta-x8/ | https://github.com/arduino/docs-content/blob/dab66ecbd6ad52cd742da6c19c5b6330a7f2caae/content/hardware/pro/boards/portenta-x8/product.md | https://github.com/arduino/docs-content/blob/dab66ecbd6ad52cd742da6c19c5b6330a7f2caae/content/hardware/pro/boards/portenta-x8/downloads/ABX00049-full-pinout.pdf,CC BY-SA 4.0 notice printed in the original PDF; preserve attribution and verify scope for publication.,Pinouts and Reference Sheets/06 Other Development Boards/Arduino/Portenta X8/Reference Sheets/Portenta X8 - Official full pinout - page 14 - PDF-ARD-6191ae48d191-p14.png
PDF-ARD-6191ae48d191-p15,Portenta X8,Arduino,,GPIO reference image,Reviewed source,media/7e366e5e91b688f35bf63e42d2243fd909aba69e9d9247a739361f73a0cfc728.png,7e366e5e91b688f35bf63e42d2243fd909aba69e9d9247a739361f73a0cfc728,https://raw.githubusercontent.com/arduino/docs-content/dab66ecbd6ad52cd742da6c19c5b6330a7f2caae/content/hardware/pro/boards/portenta-x8/downloads/ABX00049-full-pinout.pdf | https://docs.arduino.cc/hardware/portenta-x8/ | https://github.com/arduino/docs-content/blob/dab66ecbd6ad52cd742da6c19c5b6330a7f2caae/content/hardware/pro/boards/portenta-x8/product.md | https://github.com/arduino/docs-content/blob/dab66ecbd6ad52cd742da6c19c5b6330a7f2caae/content/hardware/pro/boards/portenta-x8/downloads/ABX00049-full-pinout.pdf,CC BY-SA 4.0 notice printed in the original PDF; preserve attribution and verify scope for publication.,Pinouts and Reference Sheets/06 Other Development Boards/Arduino/Portenta X8/Reference Sheets/Portenta X8 - Official full pinout - page 15 - PDF-ARD-6191ae48d191-p15.png
PDF-ARD-6191ae48d191-p16,Portenta X8,Arduino,,GPIO reference image,Reviewed source,media/2ce6e3a128de0a16387331edc9a4be35fb1eb474d9fa7339933788a1c08b035c.png,2ce6e3a128de0a16387331edc9a4be35fb1eb474d9fa7339933788a1c08b035c,https://raw.githubusercontent.com/arduino/docs-content/dab66ecbd6ad52cd742da6c19c5b6330a7f2caae/content/hardware/pro/boards/portenta-x8/downloads/ABX00049-full-pinout.pdf | https://docs.arduino.cc/hardware/portenta-x8/ | https://github.com/arduino/docs-content/blob/dab66ecbd6ad52cd742da6c19c5b6330a7f2caae/content/hardware/pro/boards/portenta-x8/product.md | https://github.com/arduino/docs-content/blob/dab66ecbd6ad52cd742da6c19c5b6330a7f2caae/content/hardware/pro/boards/portenta-x8/downloads/ABX00049-full-pinout.pdf,CC BY-SA 4.0 notice printed in the original PDF; preserve attribution and verify scope for publication.,Pinouts and Reference Sheets/06 Other Development Boards/Arduino/Portenta X8/Reference Sheets/Portenta X8 - Official full pinout - page 16 - PDF-ARD-6191ae48d191-p16.png
PDF-ARD-6191ae48d191-p17,Portenta X8,Arduino,,GPIO reference image,Reviewed source,media/100cc3e9ea423da98f530e58414cd7a05fd2f58037d0f71ea53cd683d24d5130.png,100cc3e9ea423da98f530e58414cd7a05fd2f58037d0f71ea53cd683d24d5130,https://raw.githubusercontent.com/arduino/docs-content/dab66ecbd6ad52cd742da6c19c5b6330a7f2caae/content/hardware/pro/boards/portenta-x8/downloads/ABX00049-full-pinout.pdf | https://docs.arduino.cc/hardware/portenta-x8/ | https://github.com/arduino/docs-content/blob/dab66ecbd6ad52cd742da6c19c5b6330a7f2caae/content/hardware/pro/boards/portenta-x8/product.md | https://github.com/arduino/docs-content/blob/dab66ecbd6ad52cd742da6c19c5b6330a7f2caae/content/hardware/pro/boards/portenta-x8/downloads/ABX00049-full-pinout.pdf,CC BY-SA 4.0 notice printed in the original PDF; preserve attribution and verify scope for publication.,Pinouts and Reference Sheets/06 Other Development Boards/Arduino/Portenta X8/Reference Sheets/Portenta X8 - Official full pinout - page 17 - PDF-ARD-6191ae48d191-p17.png
ARD-852bf7066c39,Portenta X8,Arduino,,board labeling image,Reviewed source,media/60da237defcf61c467df600bd86b7fa09d7ac14bf29f0f717843ad7ab3b2d395.jpg,60da237defcf61c467df600bd86b7fa09d7ac14bf29f0f717843ad7ab3b2d395,https://raw.githubusercontent.com/arduino/docs-content/dab66ecbd6ad52cd742da6c19c5b6330a7f2caae/content/hardware/pro/boards/portenta-x8/tutorials/01.user-manual/assets/ABX00049-pinout.jpg | https://docs.arduino.cc/hardware/portenta-x8/ | https://github.com/arduino/docs-content/blob/dab66ecbd6ad52cd742da6c19c5b6330a7f2caae/content/hardware/pro/boards/portenta-x8/product.md | https://github.com/arduino/docs-content/blob/dab66ecbd6ad52cd742da6c19c5b6330a7f2caae/content/hardware/pro/boards/portenta-x8/tutorials/01.user-manual/assets/ABX00049-pinout.jpg,Not established; source attribution retained,Pinouts and Reference Sheets/06 Other Development Boards/Arduino/Portenta X8/Board Labels/Portenta X8 - ABX00049-pinout - ARD-852bf7066c39.jpg
PDF-ARD-6191ae48d191-p01,Portenta X8,Arduino,,board labeling image,Reviewed source,media/c0ef3a27935299f26732852de5eac7f366e95b1ebbfb44d5d8f0e316fd2cb764.png,c0ef3a27935299f26732852de5eac7f366e95b1ebbfb44d5d8f0e316fd2cb764,https://raw.githubusercontent.com/arduino/docs-content/dab66ecbd6ad52cd742da6c19c5b6330a7f2caae/content/hardware/pro/boards/portenta-x8/downloads/ABX00049-full-pinout.pdf | https://docs.arduino.cc/hardware/portenta-x8/ | https://github.com/arduino/docs-content/blob/dab66ecbd6ad52cd742da6c19c5b6330a7f2caae/content/hardware/pro/boards/portenta-x8/product.md | https://github.com/arduino/docs-content/blob/dab66ecbd6ad52cd742da6c19c5b6330a7f2caae/content/hardware/pro/boards/portenta-x8/downloads/ABX00049-full-pinout.pdf,CC BY-SA 4.0 notice printed in the original PDF; preserve attribution and verify scope for publication.,Pinouts and Reference Sheets/06 Other Development Boards/Arduino/Portenta X8/Board Labels/Portenta X8 - Official full pinout - page 1 - PDF-ARD-6191ae48d191-p01.png
ARD-6191ae48d191,Portenta X8,Arduino,,original reference PDF,Reviewed source,media/cf1609c2df275f6c9314e7aa84b2b649897af77b5b215a41c7930d58dd7978b3.pdf,cf1609c2df275f6c9314e7aa84b2b649897af77b5b215a41c7930d58dd7978b3,https://raw.githubusercontent.com/arduino/docs-content/dab66ecbd6ad52cd742da6c19c5b6330a7f2caae/content/hardware/pro/boards/portenta-x8/downloads/ABX00049-full-pinout.pdf | https://docs.arduino.cc/hardware/portenta-x8/ | https://github.com/arduino/docs-content/blob/dab66ecbd6ad52cd742da6c19c5b6330a7f2caae/content/hardware/pro/boards/portenta-x8/product.md | https://github.com/arduino/docs-content/blob/dab66ecbd6ad52cd742da6c19c5b6330a7f2caae/content/hardware/pro/boards/portenta-x8/downloads/ABX00049-full-pinout.pdf,Not established; source attribution retained,Pinouts and Reference Sheets/06 Other Development Boards/Arduino/Portenta X8/Reference Sheets/Portenta X8 - Full board pinout PDF - ARD-6191ae48d191.pdf
